person_uri,name,gender,era,floruit_lower,floruit_upper,wikidata,dib,birth_places,death_places
https://kg.virtualtreasury.ie/person/Jones_Arthur_c17/v1q2gw9,William Jones,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1610-01-01,1670-01-07,,https://www.dib.ie/biography/Jones-Arthur-a4337-A,,
https://kg.virtualtreasury.ie/person/Fitton_Alexander_c17/v1t63tz,Alexander Fytton,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1635-01-01,1699-11-09,http://www.wikidata.org/entity/Q4718857,https://www.dib.ie/biography/Fitton-Sir-Alexander-a3114,,France
https://kg.virtualtreasury.ie/person/Dopping_Anthony_c17/v152tzc,Antoine Dopping,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1643-03-26,1697-04-25,http://www.wikidata.org/entity/Q4772410,https://www.dib.ie/biography/Dopping-Anthony-a2714,,
https://kg.virtualtreasury.ie/person/Coote_Charles_c18/v1kxg95,Edward Coote,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1655-01-01,1709-05-29,http://www.wikidata.org/entity/Q75425087,https://www.dib.ie/biography/Coote-Charles-a2019,,
https://kg.virtualtreasury.ie/person/Coote_Charles_c18/v1kxg95,Cormac Coote,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1655-01-01,1709-05-29,http://www.wikidata.org/entity/Q75425087,https://www.dib.ie/biography/Coote-Charles-a2019,,
https://kg.virtualtreasury.ie/person/Talbot_Charles_c18/v1fh1s1,Bainbridge Talbot,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1660-07-24,1718-02-01,http://www.wikidata.org/entity/Q335817,https://www.dib.ie/biography/talbot-charles-1660-1718-15th-earl-and-1st-duke-shrewsbury-a8445,,England
https://kg.virtualtreasury.ie/person/Talbot_Charles_c18/v1fh1s1,Cormac Talbot,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1660-07-24,1718-02-01,http://www.wikidata.org/entity/Q335817,https://www.dib.ie/biography/talbot-charles-1660-1718-15th-earl-and-1st-duke-shrewsbury-a8445,,England
https://kg.virtualtreasury.ie/person/Mervyn_Audley_c17/v1dz2c8,Audley Mervyn,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1603-01-01,1675-10-24,http://www.wikidata.org/entity/Q4820056,https://www.dib.ie/biography/Mervyn-Sir-Audley-a5803,,Ireland
https://kg.virtualtreasury.ie/person/Paulet_Charles_c18/v193pgy,Bainbridge Powlett,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1661-01-01,1722-01-21,http://www.wikidata.org/entity/Q972705,https://www.dib.ie/biography/Paulet-Powlett-Charles-a7239,,"England, London"
https://kg.virtualtreasury.ie/person/Arthur_Daniel_c18/v1fnv95,Dominic Arthur,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1620-01-01,1705-09-23,http://www.wikidata.org/entity/Q19325334,https://www.dib.ie/biography/Arthur-Sir-Daniel-a0230,Ireland,
https://kg.virtualtreasury.ie/person/Magennis_Arthur_c17/v1c7b4m,Abraham Magennis,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1623-01-01,1684-12-31,http://www.wikidata.org/entity/Q18922070,https://www.dib.ie/biography/Magennis-Arthur-a9276,,
